customer_id,customer_name,email,registration_date,customer_type
CUST0032,Akash Patil,akash.patil32@example.com,2025-01-29,PREMIUM
CUST0033,Anjali Jadhav,anjali.jadhav33@example.com,2025-06-25,PREMIUM
CUST0034,Aditya Sharma,aditya.sharma34@example.com,2025-11-27,VIP
CUST0035,Amit Deshmukh,amit.deshmukh35@example.com,2026-02-26,VIP
CUST0036,Neha Patil,neha.patil36@example.com,2024-10-27,PREMIUM
CUST0037,Priya Jadhav,priya.jadhav37@example.com,2024-01-04,VIP
CUST0038,Rohan Joshi,rohan.joshi38@example.com,2025-06-03,REGULAR
CUST0039,Rohan Kulkarni,rohan.kulkarni39@example.com,2024-06-05,PREMIUM
CUST0040,Priya Sharma,priya.sharma40@example.com,2025-09-05,PREMIUM
CUST0041,Pooja Sharma,pooja.sharma41@example.com,2024-04-24,PREMIUM
CUST0042,Rohan Kulkarni,rohan.kulkarni42@example.com,2024-02-29,REGULAR
CUST0043,Anjali Patil,anjali.patil43@example.com,2024-03-28,VIP
CUST0044,Pooja Patil,pooja.patil44@example.com,2026-02-17,VIP
CUST0045,Priya Joshi,priya.joshi45@example.com,2025-11-06,PREMIUM
CUST0046,Aditya Joshi,aditya.joshi46@example.com,2024-09-28,VIP
CUST0047,Anjali More,anjali.more47@example.com,2024-08-04,VIP
CUST0048,Sneha Deshmukh,sneha.deshmukh48@example.com,2025-02-12,VIP
CUST0049,Neha Jadhav,neha.jadhav49@example.com,2025-06-13,PREMIUM
CUST0050,Amit Kulkarni,amit.kulkarni50@example.com,2024-08-18,REGULAR
CUST0051,Neha Sharma,neha.sharma51@example.com,2025-08-25,VIP
CUST0052,Sneha Kulkarni,sneha.kulkarni52@example.com,2024-01-08,REGULAR
CUST0053,Rahul Kulkarni,rahul.kulkarni53@example.com,2024-03-10,REGULAR
CUST0054,Neha Patil,neha.patil54@example.com,2025-06-10,REGULAR
CUST0055,Rohan Jadhav,rohan.jadhav55@example.com,2024-08-07,VIP
CUST0056,Priya Jadhav,priya.jadhav56@example.com,2024-09-05,PREMIUM
CUST0057,Akash Kulkarni,akash.kulkarni57@example.com,2024-04-06,REGULAR
CUST0058,Akash Pawar,akash.pawar58@example.com,2025-03-09,PREMIUM
CUST0059,Pooja Sharma,missingdomain@,2025-11-20,VIP
CUST0060,Amit Sharma,amit.sharma60@example.com,2025-02-16,VIP
CUST0061,Neha Patil,neha.patil61@example.com,2024-09-11,REGULAR
CUST0062,Sneha Jadhav,sneha.jadhav62@example.com,2024-05-23,PREMIUM
CUST0063,Priya Deshmukh,priya.deshmukh63@example.com,2025-04-18,REGULAR
CUST0064,Amit Jadhav,amit.jadhav64@example.com,2026-04-07,VIP
CUST0065,Amit Sharma,amit.sharma65@example.com,2025-10-29,VIP
CUST0066,Rahul Patil,rahul.patil66@example.com,2026-02-10,REGULAR
CUST0067,Priya More,priya.more67@example.com,2025-05-12,PREMIUM
CUST0068,Sneha More,sneha.more68@example.com,2024-03-01,REGULAR
CUST0069,Akash Sharma,akash.sharma69@example.com,2025-02-03,PREMIUM
CUST0070,Pooja Deshmukh,pooja.deshmukh70@example.com,2025-03-09,VIP
CUST0071,Aditya Jadhav,aditya.jadhav71@example.com,2024-06-07,REGULAR
CUST0072,Rohan Kulkarni,rohan.kulkarni72@example.com,2024-02-29,VIP
CUST0073,Aditya Sharma,aditya.sharma73@example.com,2026-02-04,PREMIUM
CUST0074,Rahul Sharma,rahul.sharma74@example.com,2025-08-21,PREMIUM
CUST0075,Aditya Joshi,aditya.joshi75@example.com,2024-02-28,VIP
CUST0076,Amit Joshi,amit.joshi76@example.com,2024-03-11,VIP
CUST0077,Amit Kulkarni,amit.kulkarni77@example.com,2025-02-17,REGULAR
CUST0078,Anjali Kulkarni,anjali.kulkarni78@example.com,2025-08-15,VIP
CUST0079,Rahul Patil,rahul.patil79@example.com,2025-03-05,VIP
CUST0080,Anjali Pawar,anjali.pawar80@example.com,2024-09-24,REGULAR
CUST0081,Neha Kulkarni,neha.kulkarni81@example.com,2024-09-28,PREMIUM
CUST0082,Priya Deshmukh,priya.deshmukh82@example.com,2025-04-13,PREMIUM
CUST0083,Amit Sharma,amit.sharma83@example.com,2025-04-14,VIP
CUST0084,Anjali Patil,anjali.patil84@example.com,2024-03-16,VIP
CUST0085,Sneha Deshmukh,sneha.deshmukh85@example.com,2024-05-15,PREMIUM
CUST0086,Amit Kulkarni,amit.kulkarni86@example.com,2025-01-13,PREMIUM
CUST0087,Priya Jadhav,priya.jadhav87@example.com,2026-05-03,VIP
CUST0088,Rohan Sharma,rohan.sharma88@example.com,2025-11-14,VIP
CUST0089,Rohan Patil,rohan.patil89@example.com,2026-06-18,REGULAR
CUST0090,Rohan Patil,rohan.patil90@example.com,2024-04-19,VIP
CUST0091,Aditya Joshi,aditya.joshi91@example.com,2024-10-05,PREMIUM
CUST0092,Anjali Kulkarni,anjali.kulkarni92@example.com,2026-01-04,PREMIUM
CUST0093,Sneha Deshmukh,sneha.deshmukh93@example.com,2025-06-01,PREMIUM
CUST0094,Rohan Sharma,rohan.sharma94@example.com,2024-04-04,VIP
CUST0095,Akash Deshmukh,akash.deshmukh95@example.com,2024-02-15,REGULAR
CUST0096,Neha Joshi,missingdomain@,2025-10-14,PREMIUM
CUST0097,Priya Jadhav,priya.jadhav97@example.com,2025-07-18,VIP
CUST0098,Akash Sharma,akash.sharma98@example.com,2024-04-24,REGULAR
CUST0099,Priya Sharma,priya.sharma99@example.com,2026-05-04,PREMIUM
CUST0100,Anjali Joshi,anjali.joshi100@example.com,2025-03-16,REGULAR
CUST0101,Rahul Deshmukh,rahul.deshmukh101@example.com,2025-01-08,REGULAR
CUST0102,Neha Kulkarni,neha.kulkarni102@example.com,2025-11-29,REGULAR
CUST0103,Amit Pawar,amit.pawar103@example.com,2026-03-09,VIP
CUST0104,Akash Joshi,akash.joshi104@example.com,2024-08-30,REGULAR
CUST0105,Priya More,priya.more105@example.com,2024-01-26,REGULAR
CUST0106,Neha More,neha.more106@example.com,2026-04-01,VIP
CUST0107,Sneha Deshmukh,sneha.deshmukh107@example.com,2024-06-12,VIP
CUST0108,Amit More,amit.more108@example.com,2026-06-12,REGULAR
CUST0109,Pooja Kulkarni,pooja.kulkarni109@example.com,2024-07-23,PREMIUM
CUST0110,Neha Deshmukh,neha.deshmukh110@example.com,2026-04-20,REGULAR
CUST0111,Sneha Sharma,sneha.sharma111@example.com,2025-11-06,REGULAR
CUST0112,Akash Pawar,akash.pawar112@example.com,2024-10-12,REGULAR
CUST0113,Rohan Pawar,rohan.pawar113@example.com,2025-10-18,VIP
CUST0114,Akash Pawar,akash.pawar114@example.com,2024-01-29,REGULAR
CUST0115,Rohan Joshi,rohan.joshi115@example.com,2025-08-17,PREMIUM
CUST0116,Rahul Patil,rahul.patil116@example.com,2025-09-02,PREMIUM
CUST0117,Neha Pawar,neha.pawar117@example.com,2025-03-22,VIP
CUST0118,Aditya Patil,aditya.patil118@example.com,2025-01-29,VIP
CUST0119,Sneha Deshmukh,sneha.deshmukh119@example.com,2024-02-15,VIP
CUST0120,Akash Sharma,akash.sharma120@example.com,2025-06-16,VIP
CUST0121,Sneha Pawar,sneha.pawar121@example.com,2025-03-17,REGULAR
CUST0122,Neha Pawar,neha.pawar122@example.com,2025-11-10,REGULAR
CUST0123,Rohan Deshmukh,rohan.deshmukh123@example.com,2025-11-13,PREMIUM
CUST0124,Neha More,neha.more124@example.com,2025-12-14,PREMIUM
CUST0125,Aditya Joshi,aditya.joshi125@example.com,2024-07-15,PREMIUM
CUST0126,Akash Joshi,akash.joshi126@example.com,2025-09-22,VIP
CUST0127,Rohan More,rohan.more127@example.com,2025-07-15,REGULAR
CUST0128,Rohan Deshmukh,wrong.email,2024-08-03,PREMIUM
CUST0129,Anjali Pawar,anjali.pawar129@example.com,2025-04-21,PREMIUM
CUST0130,Pooja Kulkarni,pooja.kulkarni130@example.com,2025-06-07,PREMIUM
CUST0131,Priya Patil,priya.patil131@example.com,2024-10-17,VIP
CUST0132,Anjali Pawar,anjali.pawar132@example.com,2024-04-05,REGULAR
CUST0133,Rohan Kulkarni,rohan.kulkarni133@example.com,2026-04-05,REGULAR
CUST0134,Priya Sharma,priya.sharma134@example.com,2024-02-17,REGULAR
CUST0135,Pooja Patil,pooja.patil135@example.com,2025-04-11,PREMIUM
CUST0136,Anjali Kulkarni,anjali.kulkarni136@example.com,2026-01-05,VIP
CUST0137,Akash Jadhav,akash.jadhav137@example.com,2025-02-13,REGULAR
CUST0138,Priya Sharma,priya.sharma138@example.com,2026-02-07,REGULAR
CUST0139,Akash Kulkarni,akash.kulkarni139@example.com,2024-06-29,VIP
CUST0140,Aditya Jadhav,aditya.jadhav140@example.com,2024-02-21,VIP
CUST0141,Sneha Patil,sneha.patil141@example.com,2025-04-12,REGULAR
CUST0142,Pooja Pawar,pooja.pawar142@example.com,2026-02-12,PREMIUM
CUST0143,Anjali More,wrong.email,2026-04-30,VIP
CUST0144,Pooja Joshi,pooja.joshi144@example.com,2026-01-31,PREMIUM
CUST0145,Pooja Deshmukh,pooja.deshmukh145@example.com,2026-02-08,REGULAR
CUST0146,Rohan Jadhav,rohan.jadhav146@example.com,2025-10-03,REGULAR
CUST0147,Rohan Jadhav,rohan.jadhav147@example.com,2024-03-20,VIP
CUST0148,Rohan Kulkarni,rohan.kulkarni148@example.com,2024-10-05,PREMIUM
CUST0149,Neha Patil,neha.patil149@example.com,2024-05-21,REGULAR
CUST0150,Sneha More,sneha.more150@example.com,2025-12-11,REGULAR
CUST0151,Sneha Patil,sneha.patil151@example.com,2025-02-28,PREMIUM
CUST0152,Neha Jadhav,neha.jadhav152@example.com,2025-03-01,REGULAR
CUST0153,Sneha More,sneha.more153@example.com,2025-02-02,VIP
CUST0154,Rahul More,rahul.more154@example.com,2025-05-03,REGULAR
CUST0155,Neha Deshmukh,neha.deshmukh155@example.com,2026-02-10,PREMIUM
CUST0156,Akash Kulkarni,akash.kulkarni156@example.com,2025-05-14,REGULAR
CUST0157,Rohan More,rohan.more157@example.com,2025-05-12,REGULAR
CUST0158,Akash Pawar,akash.pawar158@example.com,2025-11-15,VIP
CUST0159,Akash Joshi,akash.joshi159@example.com,2026-05-10,PREMIUM
CUST0160,Priya Sharma,priya.sharma160@example.com,2025-02-07,VIP
CUST0161,Anjali Sharma,@nodomain.com,2024-03-26,VIP
CUST0162,Akash Joshi,akash.joshi162@example.com,2026-06-06,PREMIUM
CUST0163,Priya Sharma,priya.sharma163@example.com,2024-09-23,PREMIUM
CUST0164,Neha Kulkarni,neha.kulkarni164@example.com,2025-04-10,PREMIUM
CUST0165,Neha More,neha.more165@example.com,2024-10-11,PREMIUM
CUST0166,Rohan Patil,rohan.patil166@example.com,2025-04-26,REGULAR
CUST0167,Aditya Sharma,aditya.sharma167@example.com,2024-12-24,REGULAR
CUST0168,Amit Sharma,amit.sharma168@example.com,2026-02-11,REGULAR
CUST0169,Sneha Kulkarni,sneha.kulkarni169@example.com,2026-05-09,REGULAR
CUST0170,Anjali Joshi,anjali.joshi170@example.com,2024-09-01,REGULAR
CUST0171,Pooja Patil,pooja.patil171@example.com,2025-07-31,REGULAR
CUST0172,Pooja Deshmukh,pooja.deshmukh172@example.com,2026-02-24,PREMIUM
CUST0173,Priya Patil,priya.patil173@example.com,2026-03-07,REGULAR
CUST0174,Rohan Patil,rohan.patil174@example.com,2025-08-15,REGULAR
CUST0175,Rohan More,rohan.more175@example.com,2025-02-10,VIP
CUST0176,Sneha Patil,sneha.patil176@example.com,2025-08-29,VIP
CUST0177,Sneha Patil,sneha.patil177@example.com,2025-12-14,PREMIUM
CUST0178,Anjali Patil,anjali.patil178@example.com,2026-03-26,VIP
CUST0179,Rahul Pawar,rahul.pawar179@example.com,2025-06-29,PREMIUM
CUST0180,Neha Patil,neha.patil180@example.com,2025-06-02,VIP
CUST0181,Neha Sharma,neha.sharma181@example.com,2026-05-19,PREMIUM
CUST0182,Pooja Patil,pooja.patil182@example.com,2025-03-19,PREMIUM
CUST0183,Pooja Joshi,pooja.joshi183@example.com,2025-03-21,REGULAR
CUST0184,Aditya Deshmukh,aditya.deshmukh184@example.com,2025-09-22,VIP
CUST0185,Pooja Jadhav,pooja.jadhav185@example.com,2025-03-22,VIP
CUST0186,Anjali Deshmukh,anjali.deshmukh186@example.com,2024-11-26,REGULAR
CUST0187,Amit Deshmukh,amit.deshmukh187@example.com,2025-04-06,REGULAR
CUST0188,Pooja More,pooja.more188@example.com,2024-12-10,REGULAR
CUST0189,Pooja Pawar,pooja.pawar189@example.com,2024-07-05,PREMIUM
CUST0190,Sneha Pawar,sneha.pawar190@example.com,2026-03-27,PREMIUM
CUST0191,Neha Deshmukh,neha.deshmukh191@example.com,2025-09-02,VIP
CUST0192,Rohan Sharma,rohan.sharma192@example.com,2025-06-13,REGULAR
CUST0193,Amit Kulkarni,amit.kulkarni193@example.com,2026-01-07,PREMIUM
CUST0194,Pooja Kulkarni,pooja.kulkarni194@example.com,2025-12-08,PREMIUM
CUST0195,Pooja Jadhav,pooja.jadhav195@example.com,2026-03-22,REGULAR
CUST0196,Amit Deshmukh,amit.deshmukh196@example.com,2024-08-14,PREMIUM
CUST0197,Sneha Deshmukh,sneha.deshmukh197@example.com,2025-11-10,VIP
CUST0198,Neha Jadhav,neha.jadhav198@example.com,2025-07-20,VIP
CUST0199,Neha More,neha.more199@example.com,2026-02-02,VIP
CUST0200,Neha Pawar,neha.pawar200@example.com,2025-12-20,PREMIUM
CUST0201,Rohan Deshmukh,rohan.deshmukh201@example.com,2024-09-14,REGULAR
CUST0202,Amit Kulkarni,amit.kulkarni202@example.com,2024-11-19,REGULAR
CUST0203,Aditya Joshi,aditya.joshi203@example.com,2024-07-15,REGULAR
CUST0204,Pooja Deshmukh,@nodomain.com,2026-01-11,VIP
CUST0205,Aditya Deshmukh,aditya.deshmukh205@example.com,2024-04-12,REGULAR
CUST0206,Rohan Kulkarni,rohan.kulkarni206@example.com,2025-01-04,REGULAR
CUST0207,Rohan Sharma,rohan.sharma207@example.com,2025-12-26,VIP
CUST0208,Priya Deshmukh,priya.deshmukh208@example.com,2024-02-16,REGULAR
CUST0209,Aditya Deshmukh,aditya.deshmukh209@example.com,2025-12-15,REGULAR
CUST0210,Pooja Patil,pooja.patil210@example.com,2026-06-12,REGULAR
CUST0211,Anjali Deshmukh,anjali.deshmukh211@example.com,2025-04-25,PREMIUM
CUST0212,Pooja Pawar,pooja.pawar212@example.com,2024-07-07,REGULAR
CUST0213,Rohan Jadhav,rohan.jadhav213@example.com,2024-04-26,REGULAR
CUST0214,Akash Jadhav,akash.jadhav214@example.com,2024-03-16,VIP
CUST0215,Rahul Joshi,rahul.joshi215@example.com,2024-06-01,VIP
CUST0216,Rohan Patil,rohan.patil216@example.com,2024-09-11,REGULAR
CUST0217,Aditya More,aditya.more217@example.com,2025-09-12,VIP
CUST0218,Anjali Kulkarni,anjali.kulkarni218@example.com,2026-03-05,VIP
CUST0219,Akash Jadhav,akash.jadhav219@example.com,2025-03-29,PREMIUM
CUST0220,Anjali More,anjali.more220@example.com,2024-11-08,VIP
CUST0221,Anjali Sharma,anjali.sharma221@example.com,2025-09-16,VIP
CUST0222,Amit Kulkarni,amit.kulkarni222@example.com,2025-10-02,REGULAR
CUST0223,Rohan Patil,rohan.patil223@example.com,2024-06-09,REGULAR
CUST0224,Priya Patil,priya.patil224@example.com,2024-06-09,REGULAR
CUST0225,Akash Jadhav,akash.jadhav225@example.com,2025-12-06,VIP
CUST0226,Pooja Deshmukh,pooja.deshmukh226@example.com,2024-02-03,REGULAR
CUST0227,Rohan Deshmukh,rohan.deshmukh227@example.com,2025-12-20,PREMIUM
CUST0228,Amit Kulkarni,amit.kulkarni228@example.com,2024-09-27,VIP
CUST0229,Anjali Kulkarni,anjali.kulkarni229@example.com,2025-03-11,REGULAR
CUST0230,Aditya Kulkarni,aditya.kulkarni230@example.com,2025-10-25,REGULAR
CUST0231,Rohan Joshi,rohan.joshi231@example.com,2024-03-14,REGULAR
CUST0232,Priya Deshmukh,priya.deshmukh232@example.com,2025-09-01,VIP
CUST0233,Anjali Deshmukh,anjali.deshmukh233@example.com,2025-03-25,REGULAR
CUST0234,Pooja Deshmukh,pooja.deshmukh234@example.com,2025-12-17,PREMIUM
CUST0235,Rohan Jadhav,rohan.jadhav235@example.com,2025-03-24,REGULAR
CUST0236,Anjali Sharma,anjali.sharma236@example.com,2025-03-18,VIP
CUST0237,Neha Deshmukh,neha.deshmukh237@example.com,2024-01-27,REGULAR
CUST0238,Sneha Sharma,sneha.sharma238@example.com,2026-02-22,VIP
CUST0239,Rohan Sharma,rohan.sharma239@example.com,2026-02-20,REGULAR
CUST0240,Pooja Jadhav,pooja.jadhav240@example.com,2024-10-11,REGULAR
CUST0241,Anjali More,anjali.more241@example.com,2025-10-12,PREMIUM
CUST0242,Amit Jadhav,amit.jadhav242@example.com,2024-12-22,PREMIUM
CUST0243,Neha Pawar,neha.pawar243@example.com,2025-11-17,REGULAR
CUST0244,Priya Pawar,priya.pawar244@example.com,2025-02-25,VIP
CUST0245,Pooja Deshmukh,pooja.deshmukh245@example.com,2025-11-09,PREMIUM
CUST0246,Aditya Sharma,aditya.sharma246@example.com,2025-04-10,REGULAR
CUST0247,Neha Deshmukh,neha.deshmukh247@example.com,2024-11-27,REGULAR
CUST0248,Akash Sharma,akash.sharma248@example.com,2025-11-04,VIP
CUST0249,Pooja More,pooja.more249@example.com,2024-02-25,REGULAR
CUST0250,Aditya Pawar,aditya.pawar250@example.com,2025-09-29,PREMIUM
CUST0251,Pooja Sharma,pooja.sharma251@example.com,2024-07-27,PREMIUM
CUST0252,Aditya Joshi,aditya.joshi252@example.com,2024-10-21,PREMIUM
CUST0253,Pooja Patil,pooja.patil253@example.com,2024-01-30,VIP
CUST0254,Anjali Kulkarni,anjali.kulkarni254@example.com,2025-12-27,REGULAR
CUST0255,Rohan Sharma,rohan.sharma255@example.com,2025-07-19,PREMIUM
CUST0256,Amit Kulkarni,amit.kulkarni256@example.com,2026-05-11,REGULAR
CUST0257,Pooja Patil,pooja.patil257@example.com,2025-10-25,REGULAR
CUST0258,Pooja Deshmukh,pooja.deshmukh258@example.com,2025-06-05,VIP
CUST0259,Rohan More,rohan.more259@example.com,2026-05-04,PREMIUM
CUST0260,Pooja Kulkarni,pooja.kulkarni260@example.com,2025-04-12,VIP
CUST0261,Priya More,priya.more261@example.com,2024-07-14,VIP
CUST0262,Aditya Joshi,aditya.joshi262@example.com,2026-06-03,REGULAR
CUST0263,Rohan More,rohan.more263@example.com,2024-12-14,VIP
CUST0264,Rohan Sharma,rohan.sharma264@example.com,2024-10-16,VIP
CUST0265,Rohan Jadhav,rohan.jadhav265@example.com,2026-06-05,REGULAR
CUST0266,Pooja Jadhav,pooja.jadhav266@example.com,2024-12-19,PREMIUM
CUST0267,Aditya More,aditya.more267@example.com,2025-04-11,PREMIUM
CUST0268,Sneha Kulkarni,sneha.kulkarni268@example.com,2025-08-08,PREMIUM
CUST0269,Sneha More,sneha.more269@example.com,2024-02-14,PREMIUM
CUST0270,Pooja More,pooja.more270@example.com,2025-01-30,VIP
CUST0271,Priya Jadhav,priya.jadhav271@example.com,2024-02-07,REGULAR
CUST0272,Aditya Pawar,aditya.pawar272@example.com,2026-06-09,REGULAR
CUST0273,Pooja Patil,pooja.patil273@example.com,2025-06-22,PREMIUM
CUST0274,Rahul Joshi,rahul.joshi274@example.com,2025-02-23,VIP
CUST0275,Priya Patil,priya.patil275@example.com,2025-04-25,PREMIUM
CUST0276,Neha More,neha.more276@example.com,2025-10-27,REGULAR
CUST0277,Neha More,neha.more277@example.com,2024-11-20,VIP
CUST0278,Pooja Sharma,pooja.sharma278@example.com,2025-09-24,REGULAR
CUST0279,Sneha Deshmukh,sneha.deshmukh279@example.com,2024-08-20,VIP
CUST0280,Amit More,amit.more280@example.com,2024-04-10,VIP
CUST0281,Amit Jadhav,amit.jadhav281@example.com,2024-06-19,VIP
CUST0282,Rohan Sharma,rohan.sharma282@example.com,2024-02-17,PREMIUM
CUST0283,Rahul Deshmukh,rahul.deshmukh283@example.com,2025-01-02,PREMIUM
CUST0284,Akash Joshi,akash.joshi284@example.com,2024-09-07,VIP
CUST0285,Akash Joshi,akash.joshi285@example.com,2024-06-23,REGULAR
CUST0286,Amit More,amit.more286@example.com,2025-09-26,VIP
CUST0287,Sneha Jadhav,sneha.jadhav287@example.com,2025-08-20,REGULAR
CUST0288,Sneha Jadhav,sneha.jadhav288@example.com,2025-10-15,PREMIUM
CUST0289,Pooja Deshmukh,pooja.deshmukh289@example.com,2025-11-13,REGULAR
CUST0290,Pooja Deshmukh,pooja.deshmukh290@example.com,2025-11-24,VIP
CUST0291,Priya Patil,priya.patil291@example.com,2025-03-28,PREMIUM
CUST0292,Anjali Deshmukh,anjali.deshmukh292@example.com,2025-10-16,PREMIUM
CUST0293,Rohan Jadhav,rohan.jadhav293@example.com,2026-05-15,PREMIUM
CUST0294,Sneha More,sneha.more294@example.com,2026-05-23,PREMIUM
CUST0295,Amit Kulkarni,amit.kulkarni295@example.com,2025-01-25,VIP
CUST0296,Neha Deshmukh,neha.deshmukh296@example.com,2025-12-17,PREMIUM
CUST0297,Rahul More,rahul.more297@example.com,2024-10-08,REGULAR
CUST0298,Anjali Sharma,anjali.sharma298@example.com,2025-09-12,VIP
CUST0299,Pooja Deshmukh,pooja.deshmukh299@example.com,2026-03-05,REGULAR
CUST0300,Anjali Pawar,anjali.pawar300@example.com,2024-08-12,VIP
CUST0301,Sneha Deshmukh,sneha.deshmukh301@example.com,2025-11-25,VIP
CUST0302,Priya Patil,priya.patil302@example.com,2025-10-04,VIP
CUST0303,Rahul Deshmukh,rahul.deshmukh303@example.com,2026-03-18,PREMIUM
CUST0304,Rahul Pawar,rahul.pawar304@example.com,2026-01-19,REGULAR
CUST0305,Amit Deshmukh,amit.deshmukh305@example.com,2024-11-30,VIP
CUST0306,Akash Joshi,akash.joshi306@example.com,2024-07-24,REGULAR
CUST0307,Aditya Pawar,aditya.pawar307@example.com,2025-06-27,VIP
CUST0308,Rohan Joshi,rohan.joshi308@example.com,2024-09-20,PREMIUM
CUST0309,Rohan Pawar,rohan.pawar309@example.com,2026-04-03,REGULAR
CUST0310,Pooja Patil,pooja.patil310@example.com,2024-05-24,REGULAR
CUST0311,Akash Pawar,akash.pawar311@example.com,2024-04-02,PREMIUM
CUST0312,Rahul Deshmukh,rahul.deshmukh312@example.com,2025-07-03,REGULAR
CUST0313,Pooja Pawar,pooja.pawar313@example.com,2025-11-19,VIP
CUST0314,Rohan More,rohan.more314@example.com,2026-04-22,VIP
CUST0315,Neha Patil,neha.patil315@example.com,2025-11-22,REGULAR
CUST0316,Pooja Sharma,pooja.sharma316@example.com,2025-09-26,VIP
CUST0317,Neha Kulkarni,neha.kulkarni317@example.com,2025-10-25,REGULAR
CUST0318,Pooja Deshmukh,pooja.deshmukh318@example.com,2025-10-26,PREMIUM
CUST0319,Amit Joshi,amit.joshi319@example.com,2024-02-16,REGULAR
CUST0320,Rohan Jadhav,rohan.jadhav320@example.com,2024-04-28,REGULAR
CUST0321,Sneha Joshi,sneha.joshi321@example.com,2025-02-01,PREMIUM
CUST0322,Neha More,neha.more322@example.com,2025-08-24,VIP
CUST0323,Priya More,priya.more323@example.com,2025-11-01,REGULAR
CUST0324,Pooja More,pooja.more324@example.com,2024-10-13,REGULAR
CUST0325,Neha Kulkarni,neha.kulkarni325@example.com,2025-03-30,PREMIUM
CUST0326,Sneha Pawar,sneha.pawar326@example.com,2024-04-11,VIP
CUST0327,Neha Pawar,neha.pawar327@example.com,2024-03-03,PREMIUM
CUST0328,Rohan Kulkarni,rohan.kulkarni328@example.com,2024-05-05,PREMIUM
CUST0329,Amit Kulkarni,amit.kulkarni329@example.com,2025-10-19,VIP
CUST0330,Anjali Sharma,anjali.sharma330@example.com,2024-02-21,PREMIUM
CUST0331,Sneha Joshi,sneha.joshi331@example.com,2026-03-16,VIP
CUST0332,Sneha Patil,sneha.patil332@example.com,2026-04-29,VIP
CUST0333,Sneha Kulkarni,invalidemail.com,2026-04-12,REGULAR
CUST0334,Neha Joshi,neha.joshi334@example.com,2026-03-18,VIP
CUST0335,Rahul Deshmukh,rahul.deshmukh335@example.com,2026-05-29,REGULAR
CUST0336,Priya Deshmukh,priya.deshmukh336@example.com,2026-03-28,REGULAR
CUST0337,Amit Sharma,amit.sharma337@example.com,2024-05-14,REGULAR
CUST0338,Neha Kulkarni,neha.kulkarni338@example.com,2025-08-25,PREMIUM
CUST0339,Rahul Joshi,rahul.joshi339@example.com,2024-09-28,REGULAR
CUST0340,Priya More,priya.more340@example.com,2025-06-22,REGULAR
CUST0341,Amit Jadhav,amit.jadhav341@example.com,2025-04-04,PREMIUM
CUST0342,Aditya Patil,aditya.patil342@example.com,2025-04-07,VIP
CUST0343,Sneha Sharma,sneha.sharma343@example.com,2026-01-14,VIP
CUST0344,Aditya Deshmukh,aditya.deshmukh344@example.com,2025-04-14,VIP
CUST0345,Rahul Sharma,rahul.sharma345@example.com,2025-05-05,PREMIUM
CUST0346,Akash Patil,akash.patil346@example.com,2025-05-17,VIP
CUST0347,Pooja Patil,pooja.patil347@example.com,2024-03-23,PREMIUM
